0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
538.0,746.0,298.0,358.0,784.0,53.0,620.0,48.0,112.0,475.0,162.0,360.0,322.0,142.0,726.0,30.0,34.0,318.0,115.0,149.0,431.0,995.0,113.0,58.0,413.0,230.0,137.0,363.0,218.0,175.0,78.0,343.0,378.0,403.0,567.0,539.0,248.0,57.0,565.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406.0,986.0,132.0,297.0,137.0,62.0,878.0,697.0,1255.0,299.0,1185.0,243.0,197.0,1182.0,71.0,166.0,789.0,1004.0,74.0,423.0,178.0,158.0,11.0,918.0,383.0,761.0,97.0,421.0,61.0,306.0,637.0,620.0,326.0,554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
399.0,131.0,2.0,711.0,158.0,646.0,877.0,44.0,269.0,1168.0,606.0,625.0,876.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
884.0,297.0,115.0,311.0,787.0,531.0,148.0,375.0,324.0,137.0,455.0,384.0,997.0,1026.0,316.0,530.0,516.0,487.0,1182.0,1198.0,890.0,988.0,765.0,1171.0,9.0,56.0,417.0,194.0,1000.0,1256.0,690.0,329.0,1076.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51.0,566.0,646.0,281.0,105.0,131.0,848.0,1119.0,61.0,354.0,592.0,804.0,1030.0,912.0,1016.0,1332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
616.0,279.0,26.0,408.0,360.0,217.0,157.0,399.0,115.0,735.0,113.0,312.0,357.0,461.0,47.0,202.0,23.0,369.0,455.0,250.0,209.0,791.0,83.0,297.0,318.0,325.0,503.0,147.0,425.0,376.0,437.0,15.0,220.0,645.0,958.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
299.0,158.0,1119.0,646.0,96.0,404.0,550.0,11.0,53.0,154.0,121.0,104.0,132.0,403.0,137.0,24.0,524.0,84.0,177.0,26.0,1047.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
470.0,361.0,490.0,646.0,158.0,290.0,2.0,61.0,1002.0,176.0,266.0,52.0,275.0,99.0,848.0,96.0,49.0,420.0,269.0,583.0,105.0,340.0,59.0,190.0,53.0,1089.0,74.0,446.0,1320.0,154.0,11.0,178.0,231.0,615.0,126.0,298.0,312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
426.0,510.0,290.0,73.0,876.0,41.0,361.0,61.0,96.0,804.0,340.0,1168.0,576.0,145.0,662.0,281.0,188.0,646.0,619.0,90.0,162.0,713.0,805.0,50.0,647.0,134.0,190.0,358.0,25.0,972.0,501.0,407.0,687.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
411.0,290.0,2.0,942.0,326.0,711.0,510.0,61.0,99.0,158.0,646.0,1184.0,1.0,576.0,496.0,44.0,262.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219.0,290.0,1.0,942.0,79.0,278.0,312.0,505.0,217.0,372.0,199.0,6.0,498.0,32.0,94.0,226.0,102.0,540.0,569.0,470.0,357.0,459.0,298.0,95.0,651.0,192.0,210.0,610.0,137.0,1001.0,598.0,501.0,90.0,1079.0,1146.0,341.0,243.0,938.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
257.0,145.0,96.0,52.0,275.0,167.0,7.0,241.0,102.0,408.0,190.0,217.0,358.0,53.0,615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
936.0,140.0,290.0,646.0,41.0,848.0,885.0,728.0,134.0,659.0,595.0,598.0,59.0,90.0,501.0,181.0,178.0,1146.0,358.0,666.0,511.0,949.0,443.0,1001.0,96.0,427.0,409.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76.0,843.0,764.0,374.0,538.0,745.0,472.0,268.0,566.0,1036.0,820.0,1096.0,853.0,1165.0,330.0,425.0,1175.0,993.0,458.0,709.0,480.0,210.0,182.0,865.0,1130.0,1192.0,315.0,664.0,6.0,1312.0,549.0,1025.0,1281.0,153.0,834.0,373.0,337.0,999.0,517.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
670.0,140.0,321.0,79.0,510.0,646.0,210.0,243.0,181.0,104.0,13.0,11.0,84.0,550.0,403.0,24.0,699.0,351.0,182.0,1074.0,300.0,686.0,167.0,360.0,481.0,289.0,717.0,874.0,609.0,296.0,109.0,175.0,54.0,597.0,687.0,855.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
574.0,290.0,566.0,404.0,361.0,174.0,859.0,501.0,223.0,482.0,46.0,29.0,432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
456.0,10.0,569.0,995.0,217.0,342.0,201.0,495.0,481.0,30.0,491.0,801.0,459.0,651.0,321.0,584.0,685.0,758.0,472.0,17.0,100.0,597.0,285.0,440.0,478.0,663.0,259.0,103.0,360.0,497.0,105.0,1085.0,5.0,404.0,281.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233.0,403.0,598.0,134.0,13.0,687.0,25.0,550.0,24.0,125.0,445.0,174.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112.0,768.0,124.0,216.0,47.0,375.0,517.0,292.0,67.0,284.0,27.0,718.0,479.0,346.0,820.0,1013.0,577.0,503.0,662.0,340.0,439.0,492.0,169.0,1324.0,786.0,278.0,237.0,3.0,1255.0,364.0,304.0,414.0,952.0,14.0,610.0,268.0,856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75.0,96.0,1002.0,154.0,53.0,365.0,25.0,210.0,98.0,337.0,850.0,403.0,639.0,78.0,696.0,104.0,509.0,670.0,698.0,553.0,635.0,6.0,726.0,23.0,97.0,83.0,157.0,399.0,470.0,102.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
705.0,218.0,569.0,491.0,114.0,100.0,180.0,659.0,408.0,722.0,642.0,50.0,217.0,360.0,126.0,190.0,274.0,95.0,615.0,162.0,157.0,30.0,362.0,1021.0,386.0,25.0,27.0,863.0,233.0,495.0,352.0,635.0,262.0,711.0,671.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842.0,126.0,367.0,657.0,732.0,461.0,62.0,686.0,310.0,555.0,255.0,644.0,1313.0,114.0,112.0,599.0,869.0,1015.0,455.0,1278.0,690.0,995.0,512.0,548.0,100.0,1299.0,390.0,151.0,219.0,119.0,102.0,386.0,34.0,312.0,292.0,232.0,202.0,999.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
